customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,public_id
a9b75100-82a8-427a-a208-72f24052884a,51,other,basic,14.73,29,africa,tv,8.99,True,gift card,1,0.49,action,6BF81F27
49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b,47,other,standard,0.7,19,europe,mobile,13.99,True,gift card,5,0.03,sci-fi,FCC791C7
4d71f6ce-fca9-4ff7-8afa-197ac24de14b,27,female,standard,16.32,10,asia,tv,13.99,False,crypto,2,1.48,drama,0E476DE2
d3c72c38-631b-4f9e-8a0e-de103cad1a7d,53,other,premium,4.51,12,oceania,tv,17.99,True,crypto,2,0.35,horror,A0809091
4e265c34-103a-4dbb-9553-76c9aa47e946,56,other,standard,1.89,13,africa,mobile,13.99,True,crypto,2,0.13,action,A2D0C72E
d8079475-5be7-47e9-8782-ceb7ff61395e,58,female,standard,13.8,26,oceania,mobile,13.99,False,debit card,3,0.51,action,970B7099
8e63450a-13d6-4e83-bbb5-6aebde9152cb,48,other,basic,13.83,20,asia,tv,8.99,False,gift card,5,0.66,romance,E5FF8560
02387681-8c42-462a-807a-de0168c73b38,51,male,basic,14.3,56,europe,mobile,8.99,True,gift card,1,0.25,action,23D25921
0bcaad0c-545c-4ee1-85a6-75e165f39361,45,other,basic,9.98,10,asia,mobile,8.99,False,paypal,3,0.91,romance,A4E5B5EB
eae6439e-8cdf-4258-ab49-c493925b927a,32,other,premium,2.22,34,europe,tv,17.99,True,debit card,1,0.06,drama,96474ACD
45a03ce3-26d0-4cd5-a9bd-22d42490b612,26,male,premium,15.42,36,asia,laptop,17.99,False,debit card,4,0.42,comedy,8D47E195
9df43ad1-d6ee-44d0-a79b-c8ab444f10bf,28,other,standard,22.26,38,south america,mobile,13.99,False,crypto,5,0.57,horror,1E80683E
4690bf9c-b828-44d3-bdb6-f91b10668288,47,other,standard,7.92,23,south america,tv,13.99,False,crypto,1,0.33,sci-fi,11E2FB82
0aac0e54-7d40-4cf2-abe4-45f3ff73f5ff,49,female,basic,5.26,33,south america,mobile,8.99,True,crypto,3,0.15,documentary,B1A6F4E5
e2a75072-5f48-47ed-a533-eb1b0301aad9,39,female,basic,10.97,10,oceania,mobile,8.99,False,paypal,1,1.0,comedy,F1F6F572
25db8257-f409-4acd-81f8-99629fbf15a0,32,female,premium,40.94,7,south america,desktop,17.99,False,crypto,1,5.12,action,AFB395B4
bf48551e-a8e6-4fd9-bb32-3f798ed84680,46,other,premium,1.25,13,europe,tablet,17.99,True,debit card,3,0.09,comedy,80A85FB4
3819aaed-bed6-49c8-ab53-0fd9d917e4e1,48,female,standard,8.12,32,africa,desktop,13.99,True,crypto,2,0.25,action,A4B972E8
e2f28860-44e4-4fc2-a445-014332e7fb11,68,female,premium,7.67,40,oceania,tablet,17.99,False,paypal,4,0.19,romance,6F088132
a088d61d-be5a-409e-b943-73b145b358d1,21,female,standard,15.53,27,south america,laptop,13.99,False,credit card,1,0.55,comedy,D2635831
109cc416-0a22-4c41-93e9-2c7dd24ddd3f,60,male,basic,31.9,4,oceania,tablet,8.99,False,crypto,2,6.38,comedy,A3998B4C
a8c8dcff-92d3-4a79-849d-42c6e6bbc7bc,70,other,premium,7.97,57,europe,laptop,17.99,True,gift card,5,0.14,drama,487524CB
8071c1be-1197-49a1-aa75-5fb6a6b3087a,53,other,standard,43.02,43,south america,tablet,13.99,False,crypto,1,0.98,action,83E3F825
98b7c57d-1094-45dd-bb45-d9bb8dff9b83,36,other,standard,34.6,19,oceania,tablet,13.99,False,crypto,3,1.73,action,D2462B75
18be905c-203f-4de2-8e78-ef10061fc57f,55,other,basic,24.58,18,asia,desktop,8.99,False,debit card,1,1.29,documentary,6E648FEB
b7c1bdad-cafb-4586-a15d-fc9ff30a8115,45,female,standard,7.39,6,oceania,tv,13.99,False,paypal,1,1.06,romance,3A895E3A
6e061f35-b1b5-4efe-9e37-f40a14d929b1,24,male,premium,6.92,13,africa,desktop,17.99,False,crypto,2,0.49,action,11551C21
8c2d377b-f6ec-44b5-ae08-3660c4358a93,30,other,premium,1.37,55,north america,mobile,17.99,True,debit card,1,0.02,horror,E0147DAF
afcc5c55-a3d8-4e2f-ab95-3d34f5e0390d,69,female,basic,24.56,53,oceania,laptop,8.99,True,gift card,1,0.45,action,EBB0DB3F
2211b077-0300-4e0c-834c-e7751a45eb96,47,other,standard,15.87,52,africa,laptop,13.99,True,crypto,1,0.3,sci-fi,358F8866
8d755725-4f16-4006-bdae-fa3dc9fa2579,49,female,standard,7.62,27,asia,tv,13.99,False,debit card,3,0.27,action,F9975516
c39a5943-fe7c-46ec-8d3c-2a24ab46733b,67,male,standard,3.05,29,oceania,tablet,13.99,True,paypal,1,0.1,drama,B5E11B76
e62d9bc8-dab9-42e0-b6b2-e8d076fe843b,23,female,premium,13.31,34,africa,mobile,17.99,True,debit card,2,0.38,romance,3FD3B342
7a89d8b6-28ec-4b0c-9d3b-88e0a5119e3b,67,male,basic,1.56,0,oceania,desktop,8.99,False,crypto,5,1.56,documentary,DA92F5AF
c8648f0f-0b92-4445-a3a7-5c48711cbc07,57,male,premium,0.97,32,south america,mobile,17.99,True,gift card,2,0.03,comedy,8793C7DB
ebe928a7-de65-4567-b349-06056b35e6a6,55,other,standard,21.58,48,north america,mobile,13.99,False,credit card,5,0.44,romance,AB1DDAED
8b3597af-7da9-405d-9815-60d1e4dbe2e5,35,other,standard,22.59,16,europe,tablet,13.99,False,credit card,2,1.33,comedy,15F72590
839ec473-5f41-4a8b-955a-ec14b3a9cad4,22,female,standard,9.69,35,asia,tv,13.99,True,crypto,4,0.27,documentary,BFD9B7D1
cdf4012d-14b0-41d5-ab40-cc6627fe1e3b,34,male,premium,12.82,45,north america,mobile,17.99,True,paypal,2,0.28,romance,24986F22
aa97d1a3-c4ad-4c76-bd2a-56f1b46a753c,19,male,standard,4.34,1,asia,tablet,13.99,False,paypal,1,2.17,sci-fi,8F3AFA88
6ead42f9-86d8-4c66-b2fc-3d791323186d,25,female,premium,15.95,15,south america,laptop,17.99,False,credit card,1,1.0,action,7AD5F0CF
9235d289-6d46-46ba-a48a-1cf4ea18b599,49,other,premium,2.05,14,north america,tablet,17.99,False,debit card,5,0.14,romance,0AA7054C
20529e32-d3e7-4cfc-8210-b6468cdbe2a4,55,other,premium,3.86,25,europe,tablet,17.99,True,paypal,3,0.15,action,DB575E6D
bfe7729e-7d5d-4850-b496-51e891158836,36,other,basic,1.68,10,africa,tv,8.99,True,paypal,4,0.15,action,F0EC4866
783c7652-37b8-4be0-b8bc-fb51bd4b5578,27,other,premium,46.88,56,oceania,tv,17.99,False,crypto,3,0.82,drama,DE947878
2117b36a-9e3e-4077-ac5b-03540bb38461,49,male,standard,4.22,50,oceania,desktop,13.99,True,gift card,2,0.08,comedy,FF2AFFCF
ceec2c10-9770-48d1-8366-344fa66195b1,54,female,basic,26.88,44,south america,desktop,8.99,False,gift card,3,0.6,drama,F437E522
854b2bfd-6773-413f-b385-02338fa3a316,31,female,standard,2.23,39,north america,mobile,13.99,True,debit card,5,0.06,drama,A4468D3D
ee53be31-fb36-41d9-8eb2-1a4c1d976552,31,male,premium,14.15,24,south america,desktop,17.99,False,paypal,5,0.57,drama,B7A18A7A
c9c8202c-992c-4e6c-b04f-0e2961ea87cc,42,female,basic,49.49,39,europe,mobile,8.99,False,credit card,5,1.24,horror,8DEDD2B3
022f9c7a-8276-494a-8629-086ad5e81df1,30,male,premium,8.79,21,europe,tablet,17.99,False,crypto,4,0.4,comedy,E0256086
1a0f21b6-454a-4a22-88a8-5045b9d00fa4,58,male,standard,14.57,22,north america,mobile,13.99,False,debit card,2,0.63,romance,69B7F29A
616199ed-33c4-4ff5-9450-251fc608d3a1,63,other,standard,25.73,11,africa,tv,13.99,False,paypal,1,2.14,comedy,223AA71D
d1593b1d-ef59-4d4a-a169-5ff338b8baef,60,male,standard,3.01,30,asia,desktop,13.99,True,gift card,3,0.1,documentary,7403EC4F
749b69f5-8a24-428a-880c-86057af2a485,66,male,basic,12.05,33,south america,tablet,8.99,True,paypal,3,0.35,drama,C9DFD41D
a2eab47c-dc4c-427f-88f8-755051b303fb,51,female,premium,3.7,37,south america,mobile,17.99,True,credit card,2,0.1,horror,A7F750ED
b313f39d-0675-4bef-9b10-573146872adf,63,male,premium,5.84,20,oceania,mobile,17.99,False,credit card,1,0.28,documentary,D8937E23
09a76bc9-4048-4403-8087-a31cdb16556e,31,male,basic,48.35,11,oceania,desktop,8.99,False,debit card,5,4.03,comedy,03D1E119
af9b0f0d-9532-48f2-ad24-bf41faa164a6,55,other,standard,2.89,37,north america,desktop,13.99,True,debit card,4,0.08,action,78513C58
ec202012-e4bf-4b14-b5fe-4447d8cfb730,38,male,premium,29.84,56,south america,desktop,17.99,False,credit card,4,0.52,drama,3EC04DBC
8c78b61b-0d41-4470-ade0-3ed2e2b36c28,65,other,standard,19.33,31,north america,desktop,13.99,False,credit card,1,0.6,comedy,71861D7B
da57899f-77b4-4b23-bcab-700db438f6d1,43,female,premium,2.5,33,europe,tv,17.99,True,credit card,3,0.07,action,E4AD610E
